section,module,file,fn,trigger,api,wired,serverBacked,auth,refetch,errorUX,loading,i18n,responsive,a11y,tableScroll
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:187,handleSyncDriveNow,button click,POST /api/system/drive/sync-now,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:212,handleRestoreFromDriveFile,button click,POST /api/system/drive/restore,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:242,fetchSnapshots,button click,GET /api/system/backups,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:259,fetchSchedule,called internally,GET /api/system/backups/schedule,true,yes,STAFF,n/a,yes,NO,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:273,fetchDrMetrics,called internally,GET /api/system/dr-metrics,true,yes,STAFF,n/a,yes,NO,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:287,fetchHealth,button click,GET /api/system/health,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:305,handleCreateSnapshot,button click,POST /api/system/backups/create,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:336,handleVerifyChecksum,button click,POST /api/system/backups/:x/verify,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:362,handleOpenRestoreModal,button click,POST /api/system/backups/pre-restore,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:387,handleExecuteRestore,button click,POST /api/system/backups/restore,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:423,handleRunDrill,button click,POST /api/system/dr-drill,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:449,handleTriggerExport,button click,POST /api/system/export,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
system-administration,BackupAdmin,src/admin/BackupAdmin.tsx:478,handleValidateImport,button click,POST /api/system/import,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:288,handleDragOver,prop:onDragOver (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:294,handleDragLeave,prop:onDragLeave (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:300,handleDrop,prop:onDrop (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:316,handleFileInputChange,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:328,handleParseRawText,button click,POST /api/suppliers/bulk-import,true,yes,STAFF,yes,yes,yes,yes,yes,yes,n/a
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:337,handleRemoveRow,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:341,handleDownloadCsvTemplate,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:360,handleDownloadJsonTemplate,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
shared-component,BulkSupplierImportModal,src/admin/BulkSupplierImportModal.tsx:423,handleCommitImport,button click,POST /api/suppliers/bulk-import,true,yes,STAFF,yes,yes,yes,yes,yes,yes,n/a
catalog-inventory,CategoriesAdmin,src/admin/CategoriesAdmin.tsx:13,handleAddCategory,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
catalog-inventory,CategoriesAdmin,src/admin/CategoriesAdmin.tsx:37,handleDelete,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,n/a
system-administration,ContentAdmin,src/admin/ContentAdmin.tsx:84,handleResetToPublished,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,ContentAdmin,src/admin/ContentAdmin.tsx:91,handleOpenPublishModal,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,ContentAdmin,src/admin/ContentAdmin.tsx:97,handleConfirmPublish,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,ContentAdmin,src/admin/ContentAdmin.tsx:106,handleRestoreRevision,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
system-administration,ContentAdmin,src/admin/ContentAdmin.tsx:115,handleSelectPresetImage,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
customer-management,CustomersAdmin,src/admin/CustomersAdmin.tsx:78,useEffect@78,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
customer-management,CustomersAdmin,src/admin/CustomersAdmin.tsx:92,fetchCustomers,button click,GET /api/customers,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
customer-management,CustomersAdmin,src/admin/CustomersAdmin.tsx:173,useEffect@173,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
customer-management,CustomersAdmin,src/admin/CustomersAdmin.tsx:230,handleExportCsv,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,Dashboard,src/admin/Dashboard.tsx:229,useEffect@229,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,Dashboard,src/admin/Dashboard.tsx:231,load,called internally,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,Dashboard,src/admin/Dashboard.tsx:264,useEffect@264,effect(mount/dep),GET /api/suppliers,true,yes,OPEN-READ,n/a,yes,n/a,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:94,fetchSummary,button click,GET /api/finance/summary,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:110,handleRunReconciliation,button click,GET /api/finance/reconciliation,true,yes,STAFF,n/a,yes,NO,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:127,useEffect@127,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:182,handleCreateExpense,form submit,POST /api/finance/expenses,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:228,handleDeleteExpense,button click,DELETE /api/finance/expenses/:x,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:240,handleCreateSettlement,form submit,POST /api/finance/settlements,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:294,handleConfirmPayout,button click,POST /api/finance/settlements/:x/status,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:319,handleExportPnLCsv,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FinanceAdmin,src/admin/FinanceAdmin.tsx:343,handleExportExpensesCsv,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:48,useEffect@48,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:84,fetchData,button click,GET /api/fraud/stats | GET /api/orders,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:110,useEffect@110,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:114,useEffect@114,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:126,handleAddBlacklist,form submit,POST /api/fraud/blacklists,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:161,handleToggleBlacklist,button click,POST /api/fraud/blacklists/:x/toggle,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:175,handleDeleteBlacklist,button click,DELETE /api/fraud/blacklists/:x,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:190,handleSaveSettings,button click,POST /api/fraud/settings,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:212,handleExecuteAction,button click,POST /api/fraud/verify-order,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:253,handleQuickVerifyPhone,button click,POST /api/fraud/verify-order,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:281,handleRunSandbox,form submit,POST /api/fraud/evaluate,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,FraudRiskDashboard,src/admin/FraudRiskDashboard.tsx:308,handleRunSandboxPreset,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FulfillmentAdmin,src/admin/FulfillmentAdmin.tsx:92,handleOpenHubModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FulfillmentAdmin,src/admin/FulfillmentAdmin.tsx:117,handleSaveHub,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FulfillmentAdmin,src/admin/FulfillmentAdmin.tsx:127,handleOpenBinModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FulfillmentAdmin,src/admin/FulfillmentAdmin.tsx:138,handleSaveBin,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FulfillmentAdmin,src/admin/FulfillmentAdmin.tsx:147,handleCreateSto,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FulfillmentAdmin,src/admin/FulfillmentAdmin.tsx:180,handleRunSimulation,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FulfillmentAdmin,src/admin/FulfillmentAdmin.tsx:190,handleCreatePickList,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,FulfillmentAdmin,src/admin/FulfillmentAdmin.tsx:207,handleCreateManifest,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,InventoryAdmin,src/admin/InventoryAdmin.tsx:140,handleOpenAdjustModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,InventoryAdmin,src/admin/InventoryAdmin.tsx:152,handleSubmitAdjust,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,InventoryAdmin,src/admin/InventoryAdmin.tsx:176,handleAddPoItem,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,InventoryAdmin,src/admin/InventoryAdmin.tsx:192,handleUpdatePoItem,input change,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,InventoryAdmin,src/admin/InventoryAdmin.tsx:210,handleRemovePoItem,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,InventoryAdmin,src/admin/InventoryAdmin.tsx:215,handleSubmitPO,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,InventoryAdmin,src/admin/InventoryAdmin.tsx:242,handleExportCSV,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:113,fetchData,button click,GET /api/marketing/rfm-segments | GET /api/marketing/abandoned-carts | GET /api/,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:157,useEffect@157,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:177,handleAddNote,button click,POST /api/marketing/customers-crm/:x/notes,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:201,handleToggleTag,button click,POST /api/marketing/customers-crm/:x/tags,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:225,handleSendCartNudge,button click,POST /api/marketing/abandoned-carts/:x/recover,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:253,handleCreateCampaign,form submit,POST /api/marketing/campaigns,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:280,handleDispatchCampaign,button click,POST /api/marketing/campaigns/:x/dispatch,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:299,handleDisburseReferral,button click,POST /api/marketing/referrals/disburse/:x,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
customer-management,MarketingAdmin,src/admin/MarketingAdmin.tsx:318,handleUpdateConfig,form submit,PUT /api/marketing/referrals/config,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:377,useEffect@377,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:387,submitSpend,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:423,submitVoid,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:441,submitAttribution,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:471,submitChannel,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:509,submitChannelStatus,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:529,openSpendModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:553,openChannelModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,MarketingCommandCenter,src/admin/MarketingCommandCenter.tsx:571,downloadCsv,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:87,fetchOperationsData,button click,GET /api/operations/jobs,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:128,useEffect@128,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:133,handleSmsInputChange,input change,POST /api/notifications/calculate-sms,true,yes,STAFF,yes,SILENT-CATCH,NO,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:151,handleDirectDispatch,form submit,POST /api/notifications/dispatch | GET /api/notifications/logs,true,yes,OPEN-READ,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:192,handleTestConnection,button click,POST /api/notifications/test-connection,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:216,handleTopupBalance,button click,POST /api/notifications/topup,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:242,handleRetryNotification,button click,POST /api/notifications/logs/:x/retry,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:258,handleSaveGatewayConfig,form submit,PUT /api/notifications/config,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:281,handleSaveTemplate,button click,PUT /api/notifications/templates/:x,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:302,handleTickWorker,button click,POST /api/operations/tick,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:319,handleRetryJob,button click,POST /api/operations/jobs/:x/retry,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:336,handleSendTestPing,button click,POST /api/webhooks/endpoints/:x/ping,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:355,handleCreateWebhook,form submit,POST /api/webhooks/endpoints,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
unrouted,OperationsAdmin,src/admin/OperationsAdmin.tsx:376,handleDeleteWebhook,button click,DELETE /api/webhooks/endpoints/:x,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,OrdersAdmin,src/admin/OrdersAdmin.tsx:53,useEffect@53,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,OrdersAdmin,src/admin/OrdersAdmin.tsx:84,openWhatsAppForOrder,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,OrdersAdmin,src/admin/OrdersAdmin.tsx:139,handleExportExcel,prop:onExportExcel (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,OrdersAdmin,src/admin/OrdersAdmin.tsx:149,handleExportCsv,prop:onExportCsv (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,PaymentsAdmin,src/admin/PaymentsAdmin.tsx:33,fetchTransactions,button click,GET /api/payments/transactions,true,yes,STAFF,n/a,yes,yes,yes,yes,yes,yes
sales-operations,PaymentsAdmin,src/admin/PaymentsAdmin.tsx:50,useEffect@50,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
sales-operations,PaymentsAdmin,src/admin/PaymentsAdmin.tsx:55,useEffect@55,effect(mount/dep),POST /api/orders/fraud-check,true,yes,STAFF,yes,NO-CATCH,n/a,yes,yes,yes,yes
sales-operations,PaymentsAdmin,src/admin/PaymentsAdmin.tsx:114,handleTriggerIpn,form submit,POST /api/payments/test-ipn,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
sales-operations,PaymentsAdmin,src/admin/PaymentsAdmin.tsx:145,handleProcessRefund,form submit,POST /api/payments/refund,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:66,useEffect@66,effect(mount/dep),GET /api/suppliers,true,yes,OPEN-READ,n/a,yes,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:157,handleSelectAll,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:165,handleToggleSelect,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:172,handleAdjustStock,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:183,handleToggleStatus,prop:onToggleStatus (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:194,handleDuplicateProduct,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:216,handleCreateProduct,form submit,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:276,handleBulkDeleteConfirm,prop:onConfirm (child component),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:287,handleBulkReadyToShip,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
catalog-inventory,ProductsAdmin,src/admin/ProductsAdmin.tsx:298,handleExportCSV,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:71,fetchPromotionData,button click,GET /api/promotions/coupons,true,yes,OPEN-READ,n/a,yes,yes,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:96,useEffect@96,effect(mount/dep),NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:101,handleCopyCode,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:109,handleToggleStatus,button click,PUT /api/promotions/coupons/:x,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:128,handleDeleteCoupon,button click,DELETE /api/promotions/coupons/:x,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:147,handleSaveCoupon,form submit,PUT /api/promotions/coupons/:x | POST /api/promotions/coupons,true,yes,STAFF,yes,yes,yes,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:194,openEditModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
shared-component,PromotionsAdmin,src/admin/PromotionsAdmin.tsx:219,openCreateModal,button click,NONE,true,local-only,n/a,n/a,n/a,n/a,yes,yes,yes,yes
