section,module,route,file,function_name,ui_trigger,purpose_1line,calls_api,reads_context,writes_context,writes_localStorage,emits_audit_log,emits_notification,guarded_by_permission
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:273,fetchDrMetrics,called internally,fetchDrMetrics action,GET /api/system/dr-metrics,-,-,-,n,n,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:287,fetchHealth,button click,fetchHealth action,GET /api/system/health,-,-,-,n,n,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:305,handleCreateSnapshot,button click,handleCreateSnapshot action,POST /api/system/backups/create,currentRole language showToast,-,-,y,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:336,handleVerifyChecksum,button click,handleVerifyChecksum action,POST /api/system/backups/:x/verify,language showToast,-,-,n,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:362,handleOpenRestoreModal,button click,handleOpenRestoreModal action,POST /api/system/backups/pre-restore,-,-,-,n,n,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:387,handleExecuteRestore,button click,handleExecuteRestore action,POST /api/system/backups/restore,currentRole language showToast,-,-,y,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:423,handleRunDrill,button click,handleRunDrill action,POST /api/system/dr-drill,currentRole language showToast,-,-,y,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:449,handleTriggerExport,button click,handleTriggerExport action,POST /api/system/export,language showToast,-,-,y,y,BACKUP_CREATE
system-administration,BackupAdmin,/admin/backup,src/admin/BackupAdmin.tsx:478,handleValidateImport,button click,handleValidateImport action,POST /api/system/import,orders products customers currentRole language showToast,-,-,y,y,BACKUP_CREATE
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:288,handleDragOver,prop:onDragOver (child component),handleDragOver action,NONE,-,-,-,n,n,none
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:294,handleDragLeave,prop:onDragLeave (child component),handleDragLeave action,NONE,-,-,-,n,n,none
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:300,handleDrop,prop:onDrop (child component),handleDrop action,NONE,-,-,-,n,n,none
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:316,handleFileInputChange,input change,handleFileInputChange action,NONE,-,-,-,n,n,none
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:328,handleParseRawText,button click,handleParseRawText action,POST /api/suppliers/bulk-import,language,-,-,n,n,none
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:337,handleRemoveRow,button click,handleRemoveRow action,NONE,-,-,-,n,n,none
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:341,handleDownloadCsvTemplate,button click,handleDownloadCsvTemplate action,NONE,language,-,-,n,n,none
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:360,handleDownloadJsonTemplate,button click,handleDownloadJsonTemplate action,NONE,language,-,-,n,n,none
shared-component,BulkSupplierImportModal,(none),src/admin/BulkSupplierImportModal.tsx:423,handleCommitImport,button click,handleCommitImport action,POST /api/suppliers/bulk-import,language,-,-,n,n,none
catalog-inventory,CategoriesAdmin,/admin/categories,src/admin/CategoriesAdmin.tsx:13,handleAddCategory,form submit,handleAddCategory action,NONE,categories showToast,setCategories,-,y,y,PRODUCT_VIEW
catalog-inventory,CategoriesAdmin,/admin/categories,src/admin/CategoriesAdmin.tsx:37,handleDelete,button click,handleDelete action,NONE,categories showToast,setCategories,-,y,y,PRODUCT_VIEW
system-administration,ContentAdmin,/admin/content,src/admin/ContentAdmin.tsx:84,handleResetToPublished,button click,handleResetToPublished action,NONE,siteContent showToast,-,-,n,y,CONTENT_VIEW
system-administration,ContentAdmin,/admin/content,src/admin/ContentAdmin.tsx:91,handleOpenPublishModal,form submit,handleOpenPublishModal action,NONE,-,-,-,n,n,CONTENT_VIEW
system-administration,ContentAdmin,/admin/content,src/admin/ContentAdmin.tsx:97,handleConfirmPublish,button click,handleConfirmPublish action,NONE,-,-,-,n,n,CONTENT_VIEW
system-administration,ContentAdmin,/admin/content,src/admin/ContentAdmin.tsx:106,handleRestoreRevision,button click,handleRestoreRevision action,NONE,siteContent,-,-,n,n,CONTENT_VIEW
system-administration,ContentAdmin,/admin/content,src/admin/ContentAdmin.tsx:115,handleSelectPresetImage,button click,handleSelectPresetImage action,NONE,showToast,-,-,n,y,CONTENT_VIEW
customer-management,CustomersAdmin,/admin/customers,src/admin/CustomersAdmin.tsx:78,useEffect@78,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,CUSTOMER_VIEW
customer-management,CustomersAdmin,/admin/customers,src/admin/CustomersAdmin.tsx:92,fetchCustomers,button click,fetchCustomers action,GET /api/customers,customers,-,-,n,n,CUSTOMER_VIEW
customer-management,CustomersAdmin,/admin/customers,src/admin/CustomersAdmin.tsx:173,useEffect@173,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,CUSTOMER_VIEW
customer-management,CustomersAdmin,/admin/customers,src/admin/CustomersAdmin.tsx:230,handleExportCsv,button click,handleExportCsv action,NONE,showToast,-,-,n,y,CUSTOMER_VIEW
sales-operations,Dashboard,/admin,src/admin/Dashboard.tsx:229,useEffect@229,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,none
sales-operations,Dashboard,/admin,src/admin/Dashboard.tsx:231,load,called internally,load action,NONE,-,-,-,n,n,none
sales-operations,Dashboard,/admin,src/admin/Dashboard.tsx:264,useEffect@264,effect(mount/dep),data load / sync on mount or dependency change,GET /api/suppliers,-,-,-,n,n,none
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:94,fetchSummary,button click,fetchSummary action,GET /api/finance/summary,-,-,-,n,n,EXPENSE_VIEW
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:110,handleRunReconciliation,button click,handleRunReconciliation action,GET /api/finance/reconciliation,showToast,-,-,y,y,EXPENSE_VIEW
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:127,useEffect@127,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,EXPENSE_VIEW
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:182,handleCreateExpense,form submit,handleCreateExpense action,POST /api/finance/expenses,expenses showToast,-,-,n,y,EXPENSE_VIEW
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:228,handleDeleteExpense,button click,handleDeleteExpense action,DELETE /api/finance/expenses/:x,expenses showToast,-,-,n,y,EXPENSE_VIEW
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:240,handleCreateSettlement,form submit,handleCreateSettlement action,POST /api/finance/settlements,showToast,settlements,-,n,y,EXPENSE_VIEW
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:294,handleConfirmPayout,button click,handleConfirmPayout action,POST /api/finance/settlements/:x/status,showToast,settlements,-,n,y,EXPENSE_VIEW
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:319,handleExportPnLCsv,button click,handleExportPnLCsv action,NONE,showToast,-,-,n,y,EXPENSE_VIEW
sales-operations,FinanceAdmin,/admin/finance,src/admin/FinanceAdmin.tsx:343,handleExportExpensesCsv,button click,handleExportExpensesCsv action,NONE,expenses showToast,-,-,n,y,EXPENSE_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:48,useEffect@48,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:84,fetchData,button click,fetchData action,GET /api/fraud/stats | GET /api/orders,orders,setOrders,-,n,n,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:110,useEffect@110,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:114,useEffect@114,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,setOrders,-,n,n,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:126,handleAddBlacklist,form submit,handleAddBlacklist action,POST /api/fraud/blacklists,-,-,-,n,y,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:161,handleToggleBlacklist,button click,handleToggleBlacklist action,POST /api/fraud/blacklists/:x/toggle,-,-,-,n,y,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:175,handleDeleteBlacklist,button click,handleDeleteBlacklist action,DELETE /api/fraud/blacklists/:x,-,-,-,n,y,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:190,handleSaveSettings,button click,handleSaveSettings action,POST /api/fraud/settings,-,-,-,n,y,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:212,handleExecuteAction,button click,handleExecuteAction action,POST /api/fraud/verify-order,showToast,-,-,y,y,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:253,handleQuickVerifyPhone,button click,handleQuickVerifyPhone action,POST /api/fraud/verify-order,showToast,-,-,n,y,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:281,handleRunSandbox,form submit,handleRunSandbox action,POST /api/fraud/evaluate,-,-,-,n,y,ORDER_VIEW
sales-operations,FraudRiskDashboard,/admin/fraud,src/admin/FraudRiskDashboard.tsx:308,handleRunSandboxPreset,button click,handleRunSandboxPreset action,NONE,-,-,-,n,n,ORDER_VIEW
sales-operations,FulfillmentAdmin,/admin/fulfillment,src/admin/FulfillmentAdmin.tsx:92,handleOpenHubModal,button click,handleOpenHubModal action,NONE,warehouses,-,-,n,n,ORDER_VIEW
sales-operations,FulfillmentAdmin,/admin/fulfillment,src/admin/FulfillmentAdmin.tsx:117,handleSaveHub,form submit,handleSaveHub action,NONE,showToast,-,-,n,y,ORDER_VIEW
sales-operations,FulfillmentAdmin,/admin/fulfillment,src/admin/FulfillmentAdmin.tsx:127,handleOpenBinModal,button click,handleOpenBinModal action,NONE,-,-,-,n,n,ORDER_VIEW
sales-operations,FulfillmentAdmin,/admin/fulfillment,src/admin/FulfillmentAdmin.tsx:138,handleSaveBin,button click,handleSaveBin action,NONE,-,-,-,n,n,ORDER_VIEW
sales-operations,FulfillmentAdmin,/admin/fulfillment,src/admin/FulfillmentAdmin.tsx:147,handleCreateSto,button click,handleCreateSto action,NONE,warehouses showToast,-,-,n,y,ORDER_VIEW
sales-operations,FulfillmentAdmin,/admin/fulfillment,src/admin/FulfillmentAdmin.tsx:180,handleRunSimulation,button click,handleRunSimulation action,NONE,orders,-,-,n,n,ORDER_VIEW
sales-operations,FulfillmentAdmin,/admin/fulfillment,src/admin/FulfillmentAdmin.tsx:190,handleCreatePickList,button click,handleCreatePickList action,NONE,showToast,-,-,n,y,ORDER_VIEW
sales-operations,FulfillmentAdmin,/admin/fulfillment,src/admin/FulfillmentAdmin.tsx:207,handleCreateManifest,button click,handleCreateManifest action,NONE,orders showToast,-,-,n,y,ORDER_VIEW
catalog-inventory,InventoryAdmin,/admin/inventory,src/admin/InventoryAdmin.tsx:140,handleOpenAdjustModal,button click,handleOpenAdjustModal action,NONE,-,-,-,n,n,INVENTORY_VIEW
catalog-inventory,InventoryAdmin,/admin/inventory,src/admin/InventoryAdmin.tsx:152,handleSubmitAdjust,form submit,handleSubmitAdjust action,NONE,-,-,-,n,n,INVENTORY_VIEW
catalog-inventory,InventoryAdmin,/admin/inventory,src/admin/InventoryAdmin.tsx:176,handleAddPoItem,button click,handleAddPoItem action,NONE,products,-,-,n,n,INVENTORY_VIEW
catalog-inventory,InventoryAdmin,/admin/inventory,src/admin/InventoryAdmin.tsx:192,handleUpdatePoItem,input change,handleUpdatePoItem action,NONE,products,-,-,n,n,INVENTORY_VIEW
catalog-inventory,InventoryAdmin,/admin/inventory,src/admin/InventoryAdmin.tsx:210,handleRemovePoItem,button click,handleRemovePoItem action,NONE,-,-,-,n,n,INVENTORY_VIEW
catalog-inventory,InventoryAdmin,/admin/inventory,src/admin/InventoryAdmin.tsx:215,handleSubmitPO,form submit,handleSubmitPO action,NONE,-,-,-,n,n,INVENTORY_VIEW
catalog-inventory,InventoryAdmin,/admin/inventory,src/admin/InventoryAdmin.tsx:242,handleExportCSV,button click,handleExportCSV action,NONE,products,-,-,n,n,INVENTORY_VIEW
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:113,fetchData,button click,fetchData action,GET /api/marketing/rfm-segments | GET /api/marketing/abandoned-carts | GET /api/marketing/campaigns | GET /api/marketing/referrals,showToast,-,-,n,y,CONTENT_MANAGE
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:157,useEffect@157,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,CONTENT_MANAGE
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:177,handleAddNote,button click,handleAddNote action,POST /api/marketing/customers-crm/:x/notes,customers showToast,-,-,y,y,CONTENT_MANAGE
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:201,handleToggleTag,button click,handleToggleTag action,POST /api/marketing/customers-crm/:x/tags,customers showToast,-,-,y,y,CONTENT_MANAGE
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:225,handleSendCartNudge,button click,handleSendCartNudge action,POST /api/marketing/abandoned-carts/:x/recover,showToast,-,-,y,y,CONTENT_MANAGE
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:253,handleCreateCampaign,form submit,handleCreateCampaign action,POST /api/marketing/campaigns,showToast,-,-,y,y,CONTENT_MANAGE
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:280,handleDispatchCampaign,button click,handleDispatchCampaign action,POST /api/marketing/campaigns/:x/dispatch,showToast,-,-,y,y,CONTENT_MANAGE
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:299,handleDisburseReferral,button click,handleDisburseReferral action,POST /api/marketing/referrals/disburse/:x,showToast,-,-,y,y,CONTENT_MANAGE
customer-management,MarketingAdmin,/admin/marketing,src/admin/MarketingAdmin.tsx:318,handleUpdateConfig,form submit,handleUpdateConfig action,PUT /api/marketing/referrals/config,showToast,-,-,y,y,CONTENT_MANAGE
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:377,useEffect@377,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,none
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:387,submitSpend,form submit,submitSpend action,NONE,showToast,-,-,n,y,none
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:423,submitVoid,button click,submitVoid action,NONE,showToast,-,-,n,y,none
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:441,submitAttribution,form submit,submitAttribution action,NONE,showToast,-,-,n,y,none
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:471,submitChannel,form submit,submitChannel action,NONE,showToast,-,-,n,y,none
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:509,submitChannelStatus,button click,submitChannelStatus action,NONE,showToast,-,-,n,y,none
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:529,openSpendModal,button click,openSpendModal action,NONE,-,-,-,n,n,none
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:553,openChannelModal,button click,openChannelModal action,NONE,-,-,-,n,n,none
shared-component,MarketingCommandCenter,(none),src/admin/MarketingCommandCenter.tsx:571,downloadCsv,button click,downloadCsv action,NONE,-,-,-,n,n,none
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:87,fetchOperationsData,button click,fetchOperationsData action,GET /api/operations/jobs,-,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:128,useEffect@128,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:133,handleSmsInputChange,input change,handleSmsInputChange action,POST /api/notifications/calculate-sms,-,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:151,handleDirectDispatch,form submit,handleDirectDispatch action,POST /api/notifications/dispatch | GET /api/notifications/logs,language showToast,-,-,y,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:192,handleTestConnection,button click,handleTestConnection action,POST /api/notifications/test-connection,showToast,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:216,handleTopupBalance,button click,handleTopupBalance action,POST /api/notifications/topup,showToast,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:242,handleRetryNotification,button click,handleRetryNotification action,POST /api/notifications/logs/:x/retry,showToast,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:258,handleSaveGatewayConfig,form submit,handleSaveGatewayConfig action,PUT /api/notifications/config,showToast,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:281,handleSaveTemplate,button click,handleSaveTemplate action,PUT /api/notifications/templates/:x,showToast,-,-,y,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:302,handleTickWorker,button click,handleTickWorker action,POST /api/operations/tick,showToast,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:319,handleRetryJob,button click,handleRetryJob action,POST /api/operations/jobs/:x/retry,showToast,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:336,handleSendTestPing,button click,handleSendTestPing action,POST /api/webhooks/endpoints/:x/ping,showToast,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:355,handleCreateWebhook,form submit,handleCreateWebhook action,POST /api/webhooks/endpoints,showToast,-,-,n,y,SETTINGS_VIEW
unrouted,OperationsAdmin,/admin/operations,src/admin/OperationsAdmin.tsx:376,handleDeleteWebhook,button click,handleDeleteWebhook action,DELETE /api/webhooks/endpoints/:x,showToast,-,-,n,y,SETTINGS_VIEW
sales-operations,OrdersAdmin,/admin/orders,src/admin/OrdersAdmin.tsx:53,useEffect@53,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,ORDER_VIEW
sales-operations,OrdersAdmin,/admin/orders,src/admin/OrdersAdmin.tsx:84,openWhatsAppForOrder,button click,openWhatsAppForOrder action,NONE,-,-,-,n,n,ORDER_VIEW
sales-operations,OrdersAdmin,/admin/orders,src/admin/OrdersAdmin.tsx:139,handleExportExcel,prop:onExportExcel (child component),handleExportExcel action,NONE,orders showToast,-,-,n,y,ORDER_VIEW
sales-operations,OrdersAdmin,/admin/orders,src/admin/OrdersAdmin.tsx:149,handleExportCsv,prop:onExportCsv (child component),handleExportCsv action,NONE,showToast,-,-,n,y,ORDER_VIEW
sales-operations,PaymentsAdmin,/admin/payments,src/admin/PaymentsAdmin.tsx:33,fetchTransactions,button click,fetchTransactions action,GET /api/payments/transactions,-,-,-,n,n,PAYMENT_VIEW
sales-operations,PaymentsAdmin,/admin/payments,src/admin/PaymentsAdmin.tsx:50,useEffect@50,effect(mount/dep),data load / sync on mount or dependency change,NONE,-,-,-,n,n,PAYMENT_VIEW
sales-operations,PaymentsAdmin,/admin/payments,src/admin/PaymentsAdmin.tsx:55,useEffect@55,effect(mount/dep),data load / sync on mount or dependency change,POST /api/orders/fraud-check,orders,-,-,n,n,PAYMENT_VIEW
sales-operations,PaymentsAdmin,/admin/payments,src/admin/PaymentsAdmin.tsx:114,handleTriggerIpn,form submit,handleTriggerIpn action,POST /api/payments/test-ipn,showToast,-,-,n,y,PAYMENT_VIEW
sales-operations,PaymentsAdmin,/admin/payments,src/admin/PaymentsAdmin.tsx:145,handleProcessRefund,form submit,handleProcessRefund action,POST /api/payments/refund,showToast,-,-,n,y,PAYMENT_VIEW
catalog-inventory,ProductsAdmin,/admin/products,src/admin/ProductsAdmin.tsx:66,useEffect@66,effect(mount/dep),data load / sync on mount or dependency change,GET /api/suppliers,-,-,-,n,n,PRODUCT_VIEW
catalog-inventory,ProductsAdmin,/admin/products,src/admin/ProductsAdmin.tsx:157,handleSelectAll,button click,handleSelectAll action,NONE,-,-,-,n,n,PRODUCT_VIEW
catalog-inventory,ProductsAdmin,/admin/products,src/admin/ProductsAdmin.tsx:165,handleToggleSelect,button click,handleToggleSelect action,NONE,-,-,-,n,n,PRODUCT_VIEW
catalog-inventory,ProductsAdmin,/admin/products,src/admin/ProductsAdmin.tsx:172,handleAdjustStock,button click,handleAdjustStock action,NONE,language showToast,-,-,n,y,PRODUCT_VIEW
catalog-inventory,ProductsAdmin,/admin/products,src/admin/ProductsAdmin.tsx:183,handleToggleStatus,prop:onToggleStatus (child component),handleToggleStatus action,NONE,language showToast,-,-,n,y,PRODUCT_VIEW
catalog-inventory,ProductsAdmin,/admin/products,src/admin/ProductsAdmin.tsx:194,handleDuplicateProduct,button click,handleDuplicateProduct action,NONE,language showToast,-,-,n,y,PRODUCT_VIEW
catalog-inventory,ProductsAdmin,/admin/products,src/admin/ProductsAdmin.tsx:216,handleCreateProduct,form submit,handleCreateProduct action,NONE,categories showToast,-,-,n,y,PRODUCT_VIEW
catalog-inventory,ProductsAdmin,/admin/products,src/admin/ProductsAdmin.tsx:276,handleBulkDeleteConfirm,prop:onConfirm (child component),handleBulkDeleteConfirm action,NONE,products language showToast,-,-,n,y,PRODUCT_VIEW
